# Date updated UTC:2026-03-27 18:22
# 2602-f494-cidr-36.csv
#######################
# USA
# https://www.iso.org/obp/ui/#iso:code:3166:US
#######################
# New York, USA
2602:f494::/48,US,US-NY,"New York"
#
#
#
#
#
#######################
# JAPAN
# https://www.iso.org/obp/ui/#iso:code:3166:JP
#######################
# Tokyo, JAPAN
2602:f494:1::/48,JP,JP-13,"Tokyo"
#
#
#
#
#
#######################
# Rep of, Korea
# https://www.iso.org/obp/ui/#iso:code:3166:KR
#######################
# Seoul, Rep of, Korea
2602:f494:2::/48,KR,KR-11,"Seoul"
#
#
#
#
#
#######################
# CANADA
# https://www.iso.org/obp/ui/#iso:code:3166:CA
#######################
# Quebec, CANADA
2602:f494:3::/48,CA,CA-QC,"Quebec"
#
#
#
#
#
